Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
if (currentUrl == url_main),Chrome 120.0.0.0,,,2024-01-14 02:00:04,2024-01-14 02:00:04,0.000s,PASSED
else,Chrome 120.0.0.0,,,2024-01-14 02:00:04,2024-01-14 02:00:05,0.651s,FAILED
,,,,,,,
Test Cases/TimKiem/TimKiem_DSTruyenTraVe_TenTruyenKhopTuKhoa,Chrome 120.0.0.0,,,2024-01-14 02:00:05,2024-01-14 02:00:16,10.925s,FAILED
"openBrowser("""")",Chrome 120.0.0.0,,,2024-01-14 02:00:05,2024-01-14 02:00:07,2.336s,PASSED
"navigateToUrl(""https://truyenteen.me/"")",Chrome 120.0.0.0,,,2024-01-14 02:00:07,2024-01-14 02:00:12,4.489s,PASSED
"waitForElementPresent(findTestObject(""Page_TrangChu/button_TurnAdOff""), 10)",Chrome 120.0.0.0,,,2024-01-14 02:00:12,2024-01-14 02:00:12,0.741s,PASSED
"click(findTestObject(""Object Repository/Page_TrangChu/button_TurnAdOff""))",Chrome 120.0.0.0,,,2024-01-14 02:00:12,2024-01-14 02:00:13,0.424s,PASSED
"setText(findTestObject(""Object Repository/Page_TimKiem/input_search""), keyword)",Chrome 120.0.0.0,,,2024-01-14 02:00:13,2024-01-14 02:00:14,1.259s,PASSED
"sendKeys(findTestObject(""Object Repository/Page_TimKiem/input_search""), Keys.chord(ENTER))",Chrome 120.0.0.0,,,2024-01-14 02:00:14,2024-01-14 02:00:15,1.051s,PASSED
currentUrl = getUrl(),Chrome 120.0.0.0,,,2024-01-14 02:00:15,2024-01-14 02:00:15,0.019s,PASSED
if (currentUrl == url_main),Chrome 120.0.0.0,,,2024-01-14 02:00:15,2024-01-14 02:00:15,0.000s,PASSED
else,Chrome 120.0.0.0,,,2024-01-14 02:00:15,2024-01-14 02:00:16,0.593s,FAILED
,,,,,,,
Test Cases/TimKiem/TimKiem_DSTruyenTraVe_TenTruyenKhopTuKhoa,Chrome 120.0.0.0,,,2024-01-14 02:00:16,2024-01-14 02:00:39,23.066s,PASSED
"openBrowser("""")",Chrome 120.0.0.0,,,2024-01-14 02:00:16,2024-01-14 02:00:18,2.450s,PASSED
"navigateToUrl(""https://truyenteen.me/"")",Chrome 120.0.0.0,,,2024-01-14 02:00:18,2024-01-14 02:00:23,5.005s,PASSED
"waitForElementPresent(findTestObject(""Page_TrangChu/button_TurnAdOff""), 10)",Chrome 120.0.0.0,,,2024-01-14 02:00:23,2024-01-14 02:00:24,0.752s,PASSED
"click(findTestObject(""Object Repository/Page_TrangChu/button_TurnAdOff""))",Chrome 120.0.0.0,,,2024-01-14 02:00:24,2024-01-14 02:00:24,0.465s,PASSED
"setText(findTestObject(""Object Repository/Page_TimKiem/input_search""), keyword)",Chrome 120.0.0.0,,,2024-01-14 02:00:24,2024-01-14 02:00:26,1.172s,PASSED
"sendKeys(findTestObject(""Object Repository/Page_TimKiem/input_search""), Keys.chord(ENTER))",Chrome 120.0.0.0,,,2024-01-14 02:00:26,2024-01-14 02:00:27,1.249s,PASSED
currentUrl = getUrl(),Chrome 120.0.0.0,,,2024-01-14 02:00:27,2024-01-14 02:00:27,0.016s,PASSED
if (currentUrl == url_main),Chrome 120.0.0.0,,,2024-01-14 02:00:27,2024-01-14 02:00:27,0.001s,PASSED
else,Chrome 120.0.0.0,,,2024-01-14 02:00:27,2024-01-14 02:00:38,11.237s,PASSED
closeBrowser(),Chrome 120.0.0.0,,,2024-01-14 02:00:38,2024-01-14 02:00:39,0.706s,PASSED
,,,,,,,
Test Cases/TimKiem/TimKiem_DSTruyenTraVe_TenTruyenKhopTuKhoa,Chrome 120.0.0.0,,,2024-01-14 02:00:39,2024-01-14 02:00:50,10.967s,PASSED
"openBrowser("""")",Chrome 120.0.0.0,,,2024-01-14 02:00:39,2024-01-14 02:00:41,1.996s,PASSED
"navigateToUrl(""https://truyenteen.me/"")",Chrome 120.0.0.0,,,2024-01-14 02:00:41,2024-01-14 02:00:45,4.181s,PASSED
"waitForElementPresent(findTestObject(""Page_TrangChu/button_TurnAdOff""), 10)",Chrome 120.0.0.0,,,2024-01-14 02:00:45,2024-01-14 02:00:46,0.754s,PASSED
"click(findTestObject(""Object Repository/Page_TrangChu/button_TurnAdOff""))",Chrome 120.0.0.0,,,2024-01-14 02:00:46,2024-01-14 02:00:46,0.377s,PASSED
"setText(findTestObject(""Object Repository/Page_TimKiem/input_search""), keyword)",Chrome 120.0.0.0,,,2024-01-14 02:00:46,2024-01-14 02:00:47,1.279s,PASSED
"sendKeys(findTestObject(""Object Repository/Page_TimKiem/input_search""), Keys.chord(ENTER))",Chrome 120.0.0.0,,,2024-01-14 02:00:47,2024-01-14 02:00:48,0.971s,PASSED
currentUrl = getUrl(),Chrome 120.0.0.0,,,2024-01-14 02:00:48,2024-01-14 02:00:48,0.009s,PASSED
if (currentUrl == url_main),Chrome 120.0.0.0,,,2024-01-14 02:00:48,2024-01-14 02:00:48,0.001s,PASSED
else,Chrome 120.0.0.0,,,2024-01-14 02:00:48,2024-01-14 02:00:49,0.655s,PASSED
closeBrowser(),Chrome 120.0.0.0,,,2024-01-14 02:00:49,2024-01-14 02:00:50,0.733s,PASSED
,,,,,,,
Test Cases/TimKiem/TimKiem_DSTruyenTraVe_TenTruyenKhopTuKhoa,Chrome 120.0.0.0,,,2024-01-14 02:00:50,2024-01-14 02:01:11,21.266s,PASSED
"openBrowser("""")",Chrome 120.0.0.0,,,2024-01-14 02:00:50,2024-01-14 02:00:52,1.631s,PASSED
"navigateToUrl(""https://truyenteen.me/"")",Chrome 120.0.0.0,,,2024-01-14 02:00:52,2024-01-14 02:00:55,3.624s,PASSED
"waitForElementPresent(findTestObject(""Page_TrangChu/button_TurnAdOff""), 10)",Chrome 120.0.0.0,,,2024-01-14 02:00:55,2024-01-14 02:00:56,1.215s,PASSED
"click(findTestObject(""Object Repository/Page_TrangChu/button_TurnAdOff""))",Chrome 120.0.0.0,,,2024-01-14 02:00:56,2024-01-14 02:00:57,0.403s,PASSED
"setText(findTestObject(""Object Repository/Page_TimKiem/input_search""), keyword)",Chrome 120.0.0.0,,,2024-01-14 02:00:57,2024-01-14 02:00:58,1.354s,PASSED
"sendKeys(findTestObject(""Object Repository/Page_TimKiem/input_search""), Keys.chord(ENTER))",Chrome 120.0.0.0,,,2024-01-14 02:00:58,2024-01-14 02:00:59,1.115s,PASSED
currentUrl = getUrl(),Chrome 120.0.0.0,,,2024-01-14 02:00:59,2024-01-14 02:00:59,0.033s,PASSED
if (currentUrl == url_main),Chrome 120.0.0.0,,,2024-01-14 02:00:59,2024-01-14 02:00:59,0.001s,PASSED
else,Chrome 120.0.0.0,,,2024-01-14 02:00:59,2024-01-14 02:01:10,11.145s,PASSED
